,0
0,6621.0
1,6433.0
2,6582.0
3,7224.0
4,6875.0
5,6947.0
6,7328.0
7,6777.0
8,7503.0
9,6916.0
10,7045.0
11,6956.0
12,6976.0
13,7185.0
14,6899.0
15,7396.0
16,7287.0
17,7220.0
18,7651.0
19,7720.0
20,7543.0
21,7961.0
22,7327.0
23,7380.0
24,7501.0
25,7605.0
26,7584.0
27,7401.0
28,7505.0
29,7427.0
30,6993.0
31,7402.0
32,7391.0
33,7088.0
34,6949.0
35,7506.0
36,7396.0
37,7421.0
38,7159.0
39,7379.0
40,7369.0
41,6652.0
42,6769.0
43,6828.0
44,7344.0
45,7447.0
46,7186.0
47,6642.0
48,6788.0
49,6783.0
50,7037.0
51,7112.0
52,7039.0
53,6576.0
54,7002.0
55,6770.0
56,7002.0
57,6806.0
58,7221.0
59,7379.0
60,7027.0
61,7744.0
62,6464.0
63,7376.0
64,7899.0
65,7318.0
66,7174.0
67,7086.0
68,7774.0
69,7104.0
70,7129.0
71,7407.0
72,7701.0
73,7572.0
74,7813.0
75,7422.0
76,7792.0
77,7433.0
78,7796.0
79,7700.0
80,7365.0
81,7814.0
82,7326.0
83,7473.0
84,7181.0
85,7286.0
86,7293.0
87,7514.0
88,7204.0
89,7276.0
90,7509.0
91,6923.0
92,7056.0
93,7240.0
94,7138.0
95,7432.0
96,7354.0
97,7400.0
98,7596.0
99,7358.0
100,6852.0
101,6726.0
102,7131.0
103,6603.0
104,7322.0
105,6779.0
106,7325.0
107,6961.0
108,7188.0
109,7100.0
110,7239.0
111,7194.0
112,6964.0
113,6797.0
114,7561.0
115,7392.0
116,7470.0
117,7657.0
118,7649.0
119,7295.0
120,7364.0
121,7018.0
122,7740.0
123,7392.0
124,7804.0
125,7868.0
126,7578.0
127,8113.0
128,7916.0
129,7336.0
130,8033.0
131,7581.0
132,8187.0
133,7629.0
134,7386.0
135,7889.0
136,7478.0
137,7485.0
138,7387.0
139,7276.0
140,7613.0
141,7704.0
142,7788.0
143,7640.0
144,7552.0
145,7992.0
146,6845.0
147,7430.0
148,8074.0
149,7684.0
150,7411.0
151,7567.0
152,7124.0
153,7124.0
154,7157.0
155,6321.0
156,6953.0
157,7487.0
158,6993.0
159,7372.0
160,7286.0
161,7214.0
162,7521.0
163,7481.0
164,7398.0
165,7187.0
166,7720.0
167,7042.0
168,7892.0
169,6824.0
170,7552.0
171,7938.0
172,8028.0
173,7461.0
174,7770.0
175,7650.0
176,7909.0
177,7930.0
178,7562.0
179,8006.0
180,7523.0
181,7581.0
182,7638.0
183,8187.0
184,7836.0
185,7750.0
186,8061.0
187,6955.0
188,7601.0
189,7763.0
190,7733.0
191,7515.0
192,7562.0
193,8143.0
194,8204.0
195,7432.0
196,7377.0
197,7929.0
198,7431.0
199,7593.0
200,8229.0
201,7933.0
202,8278.0
203,7718.0
204,7134.0
205,7534.0
206,7260.0
207,6976.0
208,7267.0
209,7132.0
210,7398.0
211,7670.0
212,7194.0
213,7548.0
214,7834.0
215,7797.0
216,8195.0
217,7588.0
218,7543.0
219,8156.0
220,7731.0
221,7539.0
222,8052.0
223,8183.0
224,7797.0
225,8460.0
226,8055.0
227,7971.0
228,8489.0
229,8238.0
230,7996.0
231,7866.0
232,8483.0
233,8213.0
234,8402.0
235,7628.0
236,8411.0
237,8206.0
238,7825.0
239,8078.0
240,8249.0
241,7821.0
242,7257.0
243,8106.0
244,7879.0
245,7712.0
246,8103.0
247,7449.0
248,8477.0
249,8021.0
250,7840.0
251,7439.0
252,7949.0
253,7489.0
254,8115.0
255,7035.0
256,7958.0
257,7513.0
258,6949.0
259,7393.0
260,7513.0
261,7520.0
262,7868.0
263,7826.0
264,7338.0
265,7877.0
266,7757.0
267,7900.0
268,7568.0
269,7280.0
270,7804.0
271,7433.0
272,8079.0
273,7592.0
274,8267.0
275,7512.0
276,8080.0
277,7836.0
278,7946.0
279,7957.0
280,7956.0
281,8563.0
282,8015.0
283,7968.0
284,8152.0
285,8067.0
286,8279.0
287,7722.0
288,7818.0
289,8364.0
290,8369.0
291,7843.0
292,7537.0
293,8000.0
294,7619.0
295,7935.0
296,7637.0
297,7958.0
298,7991.0
299,7682.0
300,7804.0
301,8073.0
302,7883.0
303,7370.0
304,7706.0
305,8355.0
306,8051.0
307,7740.0
308,7122.0
309,7440.0
310,7408.0
311,7265.0
312,7125.0
313,7013.0
314,7530.0
315,8011.0
316,7779.0
317,7417.0
318,8125.0
319,7729.0
320,7492.0
321,8115.0
322,7791.0
323,7914.0
324,7922.0
325,8224.0
326,7765.0
327,8253.0
328,8088.0
329,8154.0
330,7590.0
331,8009.0
332,8557.0
333,8234.0
334,8489.0
335,8606.0
336,8595.0
337,8600.0
